#Date (Begin Transmision)	Time (Begin Transmision)	Date (End Transmision)	Time (End Transmision)	Message Type ( 0 = transmit once , 1 = transmit until received )	Probability (%)	Retransmision Interval (minutes)	Priority (0=High 1=Low)	@FROM@ ^TO^ &TITLE& [INVOLVED SHIPS,INVOLVED SHIPS] Message content 
19441004	1800	19441004	2300	0	100	60	0	@...@^...^&Pac News&LE FORZE TEDESCHE IN GRECIA SI SONO RITIRATE CON L'AVANZATA DELLE TRUPPE ALLEATE X
19441005	1800	19441005	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE CANADESI SI SONO SPINTE IN OLANDA X
19441009	1800	19441009	2300	0	100	60	0	@...@^...^&Pac News&NOTIZIE SPORTIVE  X I BROWNS VINCONO DOPO 6 PARTITE X
19441013	0000	19441014	2300	1	100	60	0	@COMSUBPAC@^...^&Fox Traffic&SI AVVISA DELLA PRESENZA DI UNA TASK FORCE AMERICANA DIRETTA NELLE FILIPPINE X TUTTE LE PATTUGLIE OPERATIVE NELL'AREA HANNO L'ORDINE DI CONTROLLARE LA ZONA ONDE ELIMINARE TUTTE LE FORZE OSTILI PRESENTI PRIMA DELL'ARRIVO DEL CONVOGLIO X
19441020	1800	19441020	2300	0	100	60	0	@...@^...^&Pac News&IL GENERALE MACARTHUR E' RITORNATO NELLE FILIPPINE X
19441021	1800	19441021	2300	0	100	60	0	@...@^...^&Pac News&PRIMA CITTA' TEDESCA CATTURATA X AACHEN E' SOTTO IL NOSTRO CONTROLLO X
19441023	1800	19441023	2300	1	100	60	0	@COMSUBPAC@^...^&Fox Traffic&SI AVVISANO TUTTE LE PATTUGLIE DI INTENSI COMBATTIMENTI NAVALI TRA LE FLOTTE AMERICANE E GIAPPONESI NEL GOLFO DI LEYTE X
19441102	1800	19441102	2300	0	100	60	0	@...@^...^&Pac News&BELGIUM LIBERATED BY CANADIAN FORCES TODAY X
19441104	1800	19441104	2300	0	100	60	0	@...@^...^&Pac News&LE FORZE TEDESCHE SI SONO ARRESE IN GRECIA X 
19441124	1800	19441124	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE DELLA FRANCIA LIBERA HANNO LIBERATO STRASBRUGO X
19441225	1800	19441225	2300	1	100	60	0	@COMSUBPAC@^...^&Fox Traffic&MERRY CHRISTMAS FROM UBISOFT ROMANIA X NOW GO SINK SOMETHING AND MAKE A NICE SCREENSHOT X
19450102	1800	19450102	2300	0	100	60	0	@...@^...^&Pac News&L'AMMIRAGLIO INGLESE BERTRAM RAMSEY HA PERSO LA VITA IN UN INCIDENTE AEREO X
19450116	1800	19450116	2300	0	100	60	0	@...@^...^&Pac News&CONTRATTACCO TEDESCO SCONFITTO NELLE ARDENNE X LA 1a E LA 3a ARMATA AMERICANE SI SONO CONGIUNTE X
19450117	1800	19450117	2300	0	100	60	0	@...@^...^&Pac News&I RUSSI HANNO LIBERATO VARSAVIA X STALIN GIURA CHE NON SI FERMERANNO FINO A QUANDO NON SARANNO ARRIVATI A BERLINO X
19450204	1800	19450204	2300	0	100	60	0	@...@^...^&Pac News&LE ULTIME FORZE TEDESCHE SI SONO RITIRATE DAL BELGIO X
19450209	1800	19450210	1800	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&SI AVVISA DI UNA TASK FORCE AMERICANA DIRETTA AD IWO JIMA X TUTTE LE UNITA' OPERATIVE NELL'AREA HANNO L'ORDINE DI SUPPORTARE LE OPERAZIONI X
19450223	1800	19450223	2300	0	100	60	0	@...@^...^&Pac News&CONCLUSA LA BATTAGLIA DI IWO JIMA X I SOLDATI AMERICANI ESCONO VITTORIOSI X
19450228	1800	19450228	2300	0	100	60	0	@...@^...^&Pac News&MANILA, FILIPPINE, E' STATA CATTURATA DALLE FORZE AMERICANE X
19450313	1800	19450313	2300	0	100	60	0	@...@^...^&Pac News&NOTIZIE SPORTIVE X FINALI COLLEGIALI DI FOOTBALL X ALABAMA SCONFITTA DALLA SQUADRA DELL'ESERCITO X
19450320	1800	19450320	2300	0	100	60	0	@...@^...^&Pac News&LE FORZE INDIANE HANNO LIBERATO MANDALAY DAL CONTROLLO GIAPPONESE X
19450329	1800	19450329	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE RUSSE SONO ARRIVATE IN AUSTRIA X
19450330	1800	19450330	2300	0	100	60	0	@...@^...^&Pac News&I RUSSI SI SPINGONO VERSO OVEST X DANZICA E' STATA LIBERATA X
19450325	1800	19450326	1800	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&SI AVVISA CHE LE UNITA' ALLEATE SONO IN ROTTA PER OKINAWA X TUTTE LE UNITA' OPERATIVE NELLE VICINANZE HANNO L'ORDINE DI SUPPORTARE LE OPERAZIONI X
19450401	1800	19450401	2300	1	100	60	0	@COMSUBPAC@^...^&Fox Traffic&LA MARINA AMERICANA E' SBARCATA AD OKINAWA X
19450413	1800	19450413	2300	0	100	60	0	@...@^...^&Pac News&LA SCORSA NOTTE IL PRESIDENTE ROOSEVELT E' MORTO NEL SUO LETTO X IL NUOVO COMANDANTE IN CAPO E PRESIDENTE HARRY S. TRUMAN PRESENTERA' OGGI IL GIURAMENTO X 
19450413	1800	19450413	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE RUSSE SI STANNO SPOSTANDO VERSO OVEST X VIENNA E' STATA LIBERATA X
19450421	1800	19450421	2300	0	100	60	0	@...@^...^&Pac News&LA RUSSIA HA ASSALTATO BERLINO X
19450425	1800	19450425	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE RUSSE E QUELLE ALLEATE SI SONO UNITE SUL FIUME ELBE, IN GERMANIA X
19450428	1800	19450428	2300	0	100	60	0	@...@^...^&Pac News&BENITO MUSSOLINI E' STATO CATTURATO E GIUSTIZIATO DAI PARTIGIANI ITALIANI X
19450430	1800	19450430	2300	0	100	60	0	@...@^...^&Pac News&I RUSSI CONFERMANO LA MORTE DI HITLER A BERLINO X
19450502	1800	19450502	2300	0	100	60	0	@...@^...^&Pac News&LE TRUPPE RUSSE HANNO INVASO BERLINO X
19450503	1800	19450503	2300	0	100	60	0	@...@^...^&Pac News&RANGOON E' STATA RICATTURATA DALLE FORZE INGLESI X
19450505	1800	19450505	2300	0	100	60	0	@...@^...^&Pac News&IL PRINCIPE OLANDESE BERNHARDT ACCETTA LA RESA TEDESCA X
19450506	1800	19450506	2300	0	100	60	0	@...@^...^&Pac News&SCONFITTA DEI TEDESCHI X I TEDESCHI SPARANO AD UNA FOLLA AD AMSTERDAM X NUMERO DI MORTI NON CONFERMATO X
19450507	1800	19450507	2300	0	100	60	0	@...@^...^&Pac News&VITTORIA IN EUROPA X LA GERMANIA SI E' ARRESA ALLE FORZE ALLEATE X IL CESSATE IL FUOCO CONTRO LE FORZE TEDESCHE INIZIERA' A UN MINUTO DOPO MEZZANOTTE X
19450508	0001	19450508	2359	1	100	180	0	@COMSUBPAC@^...^&Fox Traffic&A PARTIRE DA QUESTO MOMENTO TUTTI I BATTELLI BATTENTI BANDIERA TEDESCA SONO DA CONSIDERARSI NEUTRALI X SPARARE SOLO SE ATTACCATI X
19450509	1800	19450509	2300	0	100	60	0	@...@^...^&Pac News&I TEDESCHI CHE CONTROLLAVANO LE ISOLE CHANNEL SI SONO ARRESI ALLE TRUPPE INGLESI X 
19450516	1800	19450516	2300	0	100	60	0	@...@^...^&Pac News&LE FORZE INGLESI HANNO LIBERATO LE ISOLE CHANNEL X
19450706	1800	19450706	2300	0	100	60	0	@...@^...^&Pac News&LA NORVEGIA DICHIARA GUERRA AL GIAPPONE X
19450707	0000	19450707	2359	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&BARBAROUS BARB RIPORTA L'AFFONDAMENTO DI DUE INCROCIATORI, TRE GIUNCHE, UN PESCHERECCIO, QUATTRO SAMPANS. X IL SOMMERGIBILE TEDESCO 0-1-9 SI E' INCAGLIATO NELLA BARRIERA CORALLINA X
19450717	1800	19450717	2300	0	100	60	0	@...@^...^&Pac News&ALLIED HEADS OF STATE AT POTSDAM CONFERENCE X FATE OF GERMANY IS TO BE DECIDED X
19450806	1800	19450806	2300	0	100	60	0	@...@^...^&Pac News&IL GIAPPONE E' STATO BOMBARDATO CON LA NOSTRA ARMA SEGRETA X HIROSHIMA IN FIAMME X
19450808	1800	19450808	2300	0	100	60	0	@...@^...^&Pac News&I RUSSI DICHIARANO GUERRA AL GIAPPONE X 1 MILIONE DI TRUPPE RUSSE INVIATE IN MANCHURIA X
19450809	1800	19450809	2300	0	100	60	0	@...@^...^&Pac News&LA CITTA' DI NAGASAKI E' STATA BOMBARDATA DALLA NUOVA BOMBA ATOMICA X
19450815	1800	19450815	2300	0	100	60	0	@...@^...^&Pac News&L'IMPERATORE HIROHITO SI E' ARRESO ALLE FORZE ANGLO-AMERICANE X
19450815	1900	19450816	1200	1	100	120	0	@COMSUBPAC@^...^&Fox Traffic&A PARTIRE DA QUESTO MOMENTO TUTTI I BATTELLI BATTENTI BANDIERA GIAPPONESE SONO DA CONSIDERARSI NEUTRALI X SPARARE SOLO SE ATTACCATI X STARE IN GUARDIA X
19450902	1800	19450902	2300	0	100	60	0	@...@^...^&Pac News&IL GIAPPONE HA FIRMATO LA RESA A BORDO DELLA USS MISSOURI, NELLA BAIA DI TOKYO X
19451010	1800	19451010	2300	0	100	60	0	@...@^...^&Pac News&NOTIZIE SPORTIVE X I TIGERS BATTONO WRIGLEY AL 7o INNING X CUBS VOTATO COME MIGLIOR GIOCATORE DEL CAMPIONATO X
19411220	1800	19411223	2300	1	100	60	0	@COMSUBSOWESPAC@^NAVI DELLA FLOTTA ASIATICA^&Operational News&MANILA SOTTO ATTACCO AEREO COSTANTE X IMMEDIATO CAMBIO DI OPERAZIONI PER SURABAYA JAVA X
19420225	1800	19420228	2300	1	100	60	0	@COMSUBSOWESPAC@^NAVI DELLA FLOTTA ASIATICA^&Operational News&IMMEDIATO SPOSTAMENTO BASE DELLE OPERAZIONI PER PERTH FREMANTLE SU WESTERN AUSTRALIA X
